"Tahun","Kerjasama","Pengabdian  Masyarakat","Penelitian Murni","Pelatihan","Pendidikan","Total"
"2003","292","0","190","50","","532"
"2004","236","0","169","52","","457"
"2005","202","0","255","59","32","538"
"2006","226","0","421","56","58","761"
"2007","244","0","354","43","77","715"
"2008","110","0","350","16","42","518"
"2009","45","0","545","16","20","626"
"2010","107","0","514","10","22","653"
"2011","75","0","620","1","38","734"
"2012","122","0","404","95","142","763"
"2013","69","86","507","57","106","825"
